genes
AKT1
ATM
BRAF
BRCA1
BRCA2
CASP3
CD24
CD44
CDC25A
CDC25B
CDC25C
CDK1
CDK2
CHEK1
CHEK2
CHUK
CLSPN
CTNNB1
DAPK1
DPYD
EGFR
EPHA3
EPHB2
ERBB3
ERBB4
ERK1
ERK2
NFKBIA
IKBKB
KRAS
KRT20
MAP2K1
MAP2K2
MAPK1
MAPK14
MAPK3
MAPKAPK2
MEK1
MEK2
RELA
NOTCH1
NOTCH3
NRAS
PARP
PIK3CA
PKMYT1
RAD51
RPS6
SMAD1
SMAD2
SMAD4
TGFBR2
TP53
VIM
WEE1
YAP
